data,overall,north_east,north,west,capital,south_east,south,east,badakhshan,balkh.x,badghis,baghlan,bamyan.x,farah,faryab,ghor,ghazni.x,herat,helmand,jawzjan,kabul.x,kandahar.x,kunduz.x,kunar,khost,laghman,logar,nangarhar,nuristan,paktya,paktika,samangan,sar_e_pul.x,takhar,uruzgan,maidan_wardak,faiz_abad_badakhshan,baharak_badakhshan,yaftal_e_sufla,yawan,argo,kohestan_badakhshan,keshem,jorm,nahr_e_shahi,mazar_e_sharif,dehdadi,sholgareh,zari,balkh.y,chemtal,qala_e_naw,muqur_badghis,jawand,ab_kamari,pul_e_khumri,doshi,burka,baghlan_e_jadid,nahrin,bamyan.y,bala_buluk,qala_e_kah,maymana,feroz_koh,dawlatyar,shahrak,deh_yak,andar,ghazni.y,muqur_ghazni,giro,qarabagh,waghaz,hirat,injil,guzara,lashkargah,nahr_e_saraj,sheberghan,aqcha,kabul.y,bagrami,deh_sabz,paghman,kandahar.y,daman,maywand,arghandab,zheray,dand,panjwayi,spin_boldak,kunduz.y,chawkay,asad_abad,watapur,shigal,bar_kunar,dara_e_pech,sar_kani,marawara,narang,khas_kunar,nurgal,ghazi_abad,Dara-e-pech,nari,dangam,chapa_dara,matun,mandozayi,gurbuz,tani,terezayi,qalandar,mehtarlam,qarghayi,pul_e_alam,surkh_rod,rodat,jalalabad,behsud,bati_kot,chaparhar,khogyani,achin,nazyan,dur_baba,deh_bala,kama,shinwar,pachir_wa_agam,wama,barg_e_matal,waygal,parun,kamdesh,mandol,nurgaram,gardez,shawak,sayed_karam,samkani,ahmadaba,dand_wa_patan,ziruk,sharan,mata_khan,urgun,barmal,surobi_paktika,zarghun_shahr,yosuf_khel,aybak,hazrat_e_sultan,dara_e_suf_e_bala,dara_e_suf_e_payin,sar_e_pul.y,taloqan,yangi_qala,bangi,baharak,tirinkot,maydan_shahr,nerkh,dawlatabad_balkh,karukh,muhmand_dara,duab,secure_tenure,insecure_tenure,service_inaccess,service_access,adequate_shelter,inadequate_shelter,less_5years,over_5years,mixed_popn,seperate_popn,recent_return,no_recent_return,suburb_location,rural_location,urban_location,small_site,large_site,ghazni,balkh,kabul
Raghestan,0.36,1.38,0,NA,0,0,0,0,9.52,0,NA,0,NA,NA,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,12.5,11.11,0,0,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,NA,0,0,NA,0,0,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0,0,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,0,0,NA,0,NA,0,NA,0.55,0,0.48,0,0.38,0,0,0.42,0.25,0.68,0,0,0,1.48,0,0.44,0,0,NA,NA
Sabari,0.36,0,0,NA,0,6.67,0,0,0,0,NA,0,NA,NA,0,NA,NA,NA,0,0,0,0,0,0,13.33,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,NA,0,0,NA,0,0,0,0,0,NA,0,0,NA,0,NA,NA,20,0,0,0,NA,NA,0,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0,0,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,0,0,NA,0,NA,0,NA,0.55,0,0.24,0.74,0.38,0,0,0.42,0,1.36,0,0,0,0,0.7,0.44,0,0,NA,NA
Sar Kani,0.36,0,0,NA,0,0,0,1.94,0,0,NA,0,NA,NA,0,NA,NA,NA,0,0,0,0,0,10,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,NA,20,0,NA,0,0,0,0,0,NA,50,0,NA,0,NA,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0,0,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,0,0,NA,0,NA,0,NA,0.28,0.55,0.48,0,0.38,0,0,0.42,0.49,0,0,1.2,0.74,0.74,0,0.44,0,0,NA,NA
Shahrestan,0.36,0,1.22,NA,0,0,0,0,0,2.94,NA,0,NA,NA,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,NA,NA,0,0,2.38,12.5,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,NA,0,0,NA,0,0,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0,0,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,0,0,NA,0,NA,0,NA,0.55,0,0.48,0,0.38,0,0,0.42,0.49,0,0,1.2,1.48,0,0,0.44,0,0,NA,NA
Sholgareh,0.36,0,1.22,NA,0,0,0,0,0,2.94,NA,0,NA,NA,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,NA,NA,0,0,0,25,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,NA,0,0,NA,0,0,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0,0,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,0,0,NA,0,NA,0,NA,0.28,0.55,0.48,0,0.38,0,0,0.42,0.49,0,0.44,0,1.48,0,0,0.22,0.99,0,NA,NA
Surobi (Paktika),0.36,0,0,NA,0,6.67,0,0,0,0,NA,0,NA,NA,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,50,NA,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,NA,0,0,NA,0,0,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0,0,NA,50,NA,100,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,0,0,NA,0,NA,0,NA,0.55,0,0.24,0.74,0.38,0,0,0.42,0.25,0.68,0.44,0,0,0.74,0.35,0.44,0,0,NA,NA
Waygal,0.36,0,0,NA,0,0,0,1.94,0,0,NA,0,NA,NA,0,NA,NA,NA,0,0,0,0,0,5,0,0,0,0,11.11,0,0,NA,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,NA,0,0,NA,0,50,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,0,NA,100,NA,0,0,NA,0,0,NA,0,0,0,0,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,0,0,NA,0,NA,0,NA,0.28,0.55,0.48,0,0.38,0,0,0.42,0.25,0.68,0,0.6,0,0.74,0.35,0.44,0,0,NA,NA
Yamgan,0.36,1.38,0,NA,0,0,0,0,9.52,0,NA,0,NA,NA,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,12.5,11.11,0,0,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,NA,0,0,NA,0,0,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0,0,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,0,0,NA,0,NA,0,NA,0.55,0,0.48,0,0.38,0,1.3,0.21,0.49,0,0,0,0.74,0,0.35,0.22,0.99,0,NA,NA
Yangi Qala,0.36,1.38,0,NA,0,0,0,0,0,0,NA,0,NA,NA,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,5.41,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,NA,0,0,NA,0,0,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0,0,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0,6.06,0,0,NA,0,0,NA,0,NA,0,NA,0.55,0,0.48,0,0.38,0,0,0.42,0.49,0,0.44,0.6,0.74,0.74,0,0.44,0,0,NA,NA
Anar Dara,0.18,0,0,NA,0,0,1.2,0,0,0,NA,0,NA,NA,0,NA,NA,NA,0,0,0,1.67,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,0,0,0,0,0,0,0,NA,2.7,0,0,0,0,NA,0,0,0,NA,0,0,NA,0,0,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0,0,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,0,0,NA,0,NA,0,NA,0,0,0,0.74,0.19,0,0,0.21,0.25,0,0,0,0,0.74,0,0.22,0,0,NA,NA
Arghandab,0.18,0,0,NA,0,0,1.2,0,0,0,NA,0,NA,NA,0,NA,NA,NA,0,0,0,1.67,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,0,0,0,0,0,0,0,NA,2.7,0,0,0,0,NA,0,0,0,NA,0,0,NA,0,0,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0,0,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,0,0,NA,0,NA,0,NA,0.28,0,0.24,0,0.19,0,1.3,0,0,0.68,0,0,0,0,0.35,0.22,0,0,NA,NA
Aybak,0.18,0.69,0,NA,0,0,0,0,0,0,NA,1.69,NA,NA,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,2.38,0,0,0,0,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,NA,0,0,NA,0,0,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0,0,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,0,0,NA,0,NA,0,NA,0,0.55,0.24,0,0.19,0,0,0.21,0.25,0,0,0.6,0,0,0.35,0.22,0,0,NA,NA
Bad Pakh,0.18,0,0,NA,0,0,0,0.97,0,0,NA,0,NA,NA,0,NA,NA,NA,0,0,0,0,0,0,0,2.56,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,NA,0,0,NA,0,0,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,0,NA,NA,4.35,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0,0,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,0,0,NA,0,NA,0,NA,0,0.55,0.24,0,0.19,0,0,0.21,0.25,0,0,0.6,0.74,0,0,0.22,0,0,NA,NA
Baharak Badakhshan,0.18,0.69,0,NA,0,0,0,0,0,0,NA,0,NA,NA,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,2.7,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,NA,0,0,NA,0,0,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0,0,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0,3.03,0,0,NA,0,0,NA,0,NA,0,NA,0,0.55,0.24,0,0.19,0,0,0.21,0.25,0,0,0.6,0,0,0.35,0.22,0,0,NA,NA
Bala Buluk,0.18,0,0,NA,0,0,1.2,0,0,0,NA,0,NA,NA,0,NA,NA,NA,0,0,0,1.67,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,0,0,0,0,0,0,0,NA,0,0,25,0,0,NA,0,0,0,NA,0,0,NA,0,0,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0,0,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,0,0,NA,0,NA,0,NA,0.28,0,0,0.74,0.19,0,0,0.21,0.25,0,0,0,0,0,0.35,0.22,0,0,NA,NA
Baraki Barak,0.18,0,0,NA,3.45,0,0,0,0,0,NA,0,NA,NA,0,NA,NA,NA,0,0,0,0,0,0,0,0,25,0,0,0,0,NA,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,NA,0,0,NA,0,0,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,0,NA,NA,0,0,25,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0,0,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,0,0,NA,0,NA,0,NA,0.28,0,0.24,0,0.19,0,0,0.21,0.25,0,0,0.6,0,0,0.35,0.22,0,0,NA,NA
Behsud,0.18,0,0,NA,0,0,0,0.97,0,0,NA,0,NA,NA,0,NA,NA,NA,0,0,0,0,0,5,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,NA,0,0,NA,0,0,0,0,0,NA,0,0,NA,100,NA,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0,0,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,0,0,NA,0,NA,0,NA,0.28,0,0.24,0,0.19,0,0,0.21,0.25,0,0,0.6,0,0.74,0,0.22,0,0,NA,NA
Charkh,0.18,0,0,NA,0,3.33,0,0,0,0,NA,0,NA,NA,0,NA,NA,NA,0,0,0,0,0,0,6.67,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,NA,0,0,NA,0,0,0,0,0,NA,0,0,NA,0,NA,NA,10,0,0,0,NA,NA,0,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0,0,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,0,0,NA,0,NA,0,NA,0.28,0,0,0.74,0.19,0,0,0.21,0.25,0,0,0,0,0,0.35,0.22,0,0,NA,NA
Charsadra,0.18,0,0,NA,0,0,1.2,0,0,0,NA,0,NA,NA,0,NA,NA,NA,4.55,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,0,12.5,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,NA,0,0,NA,0,0,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0,0,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,0,0,NA,0,NA,0,NA,0,0.55,0.24,0,0.19,0,1.3,0,0,0.68,0,0,0,0.74,0,0.22,0,0,NA,NA
Dand,0.18,0,0,NA,0,0,1.2,0,0,0,NA,0,NA,NA,0,NA,NA,NA,0,0,0,1.67,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,NA,100,0,0,NA,0,0,NA,0,0,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0,0,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,0,0,NA,0,NA,0,NA,0,0.55,0,0.74,0,4.76,1.3,0,0.25,0,0,0,0,0,0.35,0.22,0,0,NA,NA
Dara-e-Suf-e-Payin,0.18,0,0.61,NA,0,0,0,0,0,1.47,NA,0,NA,NA,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,NA,NA,0,0,2.38,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,NA,0,0,NA,0,0,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0,0,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,0,0,NA,0,NA,0,NA,0.28,0,0.24,0,0.19,0,0,0.21,0,0.68,0.44,0,0.74,0,0,0.22,0,0,NA,NA
Dawlat Abad,0.18,0,0.61,NA,0,0,0,0,0,1.47,NA,0,NA,NA,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,NA,NA,0,0,2.38,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,NA,0,0,NA,0,0,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0,0,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,0,0,NA,0,NA,0,NA,0,0.55,0.24,0,0,4.76,1.3,0,0,0.68,0.44,0,0.74,0,0,0.22,0,0,NA,NA
Dawlatshah,0.18,0,0,NA,0,0,0,0.97,0,0,NA,0,NA,NA,0,NA,NA,NA,0,0,0,0,0,0,0,2.56,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,NA,0,0,NA,0,0,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,0,NA,NA,0,6.25,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0,0,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,0,0,NA,0,NA,0,NA,0,0.55,0.24,0,0.19,0,0,0.21,0.25,0,0,0.6,0,0.74,0,0.22,0,0,NA,NA
Deh Bala,0.18,0,0,NA,0,0,0,0.97,0,0,NA,0,NA,NA,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,2.86,0,0,0,NA,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,NA,0,0,NA,0,0,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,0,NA,0,0,100,NA,NA,NA,NA,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0,0,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,0,0,NA,0,NA,0,NA,0.28,0,0.24,0,0.19,0,0,0.21,0,0.68,0,0.6,0,0.74,0,0.22,0,0,NA,NA
Deh-e-Shu,0.18,0,0,NA,0,0,1.2,0,0,0,NA,0,NA,NA,0,NA,NA,NA,4.55,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,0,12.5,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,NA,0,0,NA,0,0,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0,0,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,0,0,NA,0,NA,0,NA,0,0.55,0.24,0,0.19,0,0,0.21,0,0.68,0,0,0,0.74,0,0.22,0,0,NA,NA
Doshi,0.18,0.69,0,NA,0,0,0,0,0,0,NA,1.69,NA,NA,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,2.38,0,0,0,0,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,NA,0,0,NA,0,0,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0,0,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,0,0,NA,0,NA,0,NA,0.28,0,0.24,0,0.19,0,0,0.21,0.25,0,0,0.6,0,0,0.35,0.22,0,0,NA,NA
Duab,0.18,0,0,NA,0,0,0,0.97,0,0,NA,0,NA,NA,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,11.11,0,0,NA,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,NA,0,0,NA,0,0,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,0,NA,0,NA,0,25,NA,0,0,NA,0,0,0,0,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,0,0,NA,0,NA,0,NA,0.28,0,0.24,0,0.19,0,0,0.21,0.25,0,0,0.6,0,0.74,0,0.22,0,0,NA,NA
