type,name,label,label::Dari,label::pash,hint::English,hint::Dari,hint::pash,required,relevant,read_only,appearance,constraint,constraint_message::English,constraint_message::Dari,constraint_message::pash,calculation,choice_filter,repeat_count
integer,nomad_indvl,How many nomad (Kuchi) individuals are living in the settlement permanently?,?? ?? ????? ????? ???? ???? ??? ????? ?? ??? ????? ???????,????? ???? ????? ??? ???????? (???) ?? ?? ????? ??? ????? ????,"For this assessment, a nomad is an Afghan national that traditionally does not have a fixed home or location of living, and regularly moves throughout the country as part of their livelihood.",???? ??????? ??? ???? ?? ??? ???? ????? ?? ?????? ????????? ?? ????? ???? ? ???? ? ??? ???? ???? ????? ???? ????? ? ??? ???? ?? ????? ???? ?? ?? ???? ????? ?? ??????,"??? ?????? ?????? ?? ???? ?? ????? ???? ?? ?? ? ????? ?? ??? ???? ??? ?? ??? ? ??????? ????? ?? ???? ?? ?? ?????? ??? ?? ??? ????? ?? ? ??? ???? ???? ? ??? ???? ?? ???? ????.",TRUE,"selected(${migrant_population}, 'nomad')",,,.>=${nomad_hhs},Nomad individuals must be equal to or larger than the number of nomad households reported,???? ????? ???? ?? ???? ????? ?? ????? ??????? ??? ???? ?? ????,? ??????? ???? /??????  ???? ???? ? ??????? ? ?????? ?? ???? ??? ???? ??,,,
calculate,nomad_indvl_coalesce,,,,,,,,,,,,,,,"coalesce(${nomad_indvl},0)",,
integer,host_hhs,How many host community households are living in the settlement?,?? ?? ????? ??????? ??? ?????? ???? ??? ????? ???????,? ????? ????? ????? ????? ??? ???????? ?? ???? ????,"For this assessment, host community individuals are not displaced, and identify as part of the community within which the informal settlement resides.",???? ??????? ????? ????? ?????? ????? ??? ?????? ? ?? ?? ????? ? ?????? ?? ?? ?? ????? ??? ???? ??? ????? ????,"??? ?????? ?????? ? ????? ????? ????? ?????? ??? ??? ?? ? ????? ? ??? ???? ?? ???? ?????? ???? ????? ?? ??????? ???????? ???? ??.",TRUE,"selected(${iset_population}, 'mixed') ",,,,,,,,,
calculate,host_hhs_coalesce,,,,,,,,,,,,,,,"coalesce(${host_hhs},0)",,
integer,host_indvl,How many host community individuals are living in the settlement?,?? ?? ????? ????? ?????? ???? ??? ????? ???????,????? ????? ? ????? ????? ??? ???????? (???) ?? ???? ????,"For this assessment, host community individuals are not displaced, and identify as part of the community within which the informal settlement resides.",???? ??????? ????? ????? ?????? ????? ??? ?????? ? ?? ?? ????? ? ?????? ?? ?? ?? ????? ??? ???? ??? ????? ????,"??? ?????? ?????? ? ????? ????? ????? ?????? ??? ??? ?? ? ????? ? ??? ???? ?? ???? ?????? ???? ????? ?? ??????? ???????? ???? ??.",TRUE,"selected(${iset_population}, 'mixed') ",,,.>=${host_hhs},Host community individuals must be equal to or larger than the number of host community households reported,,,,,
calculate,host_indvl_coalesce,,,,,,,,,,,,,,,"coalesce(${host_indvl},0)",,
calculate,total_indvl,,,,,,,TRUE,,,,,,,,${idp_indvl_coalesce}+${prolonged_indvl_coalesce}+${protracted_indvl_coalesce}+${refugee_indvl_coalesce}+${returnee_indvl_coalesce}+${economic_indvl_coalesce}+${nomad_indvl_coalesce}+${host_indvl_coalesce},,
calculate,total_hhs,,,,,,,TRUE,,,,,,,,${idp_hhs_coalesce}+${prolonged_hhs_coalesce}+${protracted_hhs_coalesce}+${refugee_hhs_coalesce}+${returnee_hhs_coalesce}+${economic_hhs_coalesce}+${nomad_hhs_coalesce}+${host_hhs_coalesce},,
calculate,avg_hh_size,,,,,,,TRUE,,,,,,,,${total_indvl} div ${total_hhs},,
end group,,,,,,,,,,,,,,,,,,
begin group,vulnerability,Vulnerabilty,???? ?????,?????????,,,,,"selected(${consent},'yes')",,,,,,,,,
note,vuln_note,Now I will ask about at-risk individuals and households living in this settlement. Please do your best to estimate their size. ,"???? ?? ???? ????? ? ??????? ??? ?? ?? ???? ??? ??? ? ???? ???? ??? ???? ????? ????? ?????? ?????? ????? ??? ????? ?????? ?? ?? ??????","??? ?? ???? ? ??? ????? ?? ?????? ?? ??? ?????? ???? ??? ?? ??? ???????? ?? ???? ???? ?? ??????? ??? ? ???? ?????? ?????? ???? ???????",,,,FALSE,,yes,,,,,,,,
integer,disability,Approximately how many households in your settlement contain members that have a disability that prevents them from completing everyday tasks?,?????? ?? ?? ????? ??????? ?? ?? ??? ??? ????? ??????? ??????? ?? ???? ????? ??? ??? ??? ??? ??? ????? ,?????? ????? ?? ???????? (???) ?? ????? ????? ??????? /??????? ????,"An individual may have a disability if they have difficulty seeing, hearing, walking or climbing steps, communicating or understanding conversation, or challenges with caring for themselves.",?? ??? ???? ??????? ????? ????. ??? ???? ??????. ??? ??? ?? ???? ????. ?????? ?? ???? ???? ?? ?????? ?? ?? ?????? ?? ???? ?????? ?? ??? ???? ????? ????.,"?? ?? ???? ?? ??????? ???? ?? ???? ??? ? ?????? ???????? ??????? ?? ??? ????? ????? ???? ???? ?? ?? ???? ???????? ?? ? ??? ??? ?? ??? ????? ?? ?????? ????.",TRUE,,,,.<=${total_hhs},Number entered must be less than total housholds reported living in the settlement,???? ???? ?? ????? ??????? ?? ????,????? ?? ???? ? ???? ?????? ?? ????? ??? ?? ??,,,
integer,chronic_ill,Approximately how many households in your settlement contain members that have a chronic illness that prevents them from completing everyday tasks?,?????? ?? ?? ????? ??????? ?? ?? ??? ??? ????? ????? ???? ??????? ?? ???? ????? ??? ??? ??? ??? ??? ????? ,?????? ????? ?? ???????? (???) ?? ????? ????? ???? /???? ?????? ??????? ????,"Examples of chronic illness: heart disease, hypertension, diabetes, chronic respiratory diseases, cancer, moderate to severe asthma","????? ???? ?? ?????? ??? ????: ?????? ??? ???? ? ???? ??? ???? ? ????? ? ?????? ??? ???? ????? ? ????? ? ??? ????? ?? ????","? ????? ?? ???? ?????/???? ?????? ?????: ? ??? ??????? ??? ????? ???? ??????? ???? ????? ????? ??????? ????? ??????? ??? ??????",TRUE,,,,.<=${total_hhs},Number entered must be less than total housholds reported living in the settlement,???? ???? ?? ????? ??????? ?? ????,????? ?? ???? ? ???? ?????? ?? ????? ??? ?? ??,,,
integer,elderly,Approximately how many INDIVIDUALS in your settlement are 60 years of age or older,?????? ?? ?? ????? ????? ?? ?? 60 ?? ?????? ?? ?? ???? ??? ??? ????? ???????,?? ?????? ??? ????? ?? ??? ?? ?? ????? ???? ?? ?? ??? ?? ?? ?? ???? ??? ???,,,,TRUE,,,,.<=${total_indvl},Number entered must be less than total individuals reported living in the settlement,???? ???? ?? ????? ????? ????,????? ?? ???? ? ????? ? ???? ??? ?? ????? ??? ?? ??,,,
integer,female_hoh,Approximately how many households in your settlement have female heads of household?,?????? ?? ?? ????? ??????? ?? ?? ??? ??? ????? ?????? ???? ????????,?? ?????? ??? ????? ?? ??? ?? ?? ????? ????? ?? ?? ????? ?? ??????? ????,,,,TRUE,,,,.<=${total_hhs},Number entered must be less than total housholds reported living in the settlement,???? ???? ?? ????? ??????? ?? ????,????? ?? ???? ? ???? ?????? ?? ????? ??? ?? ??,,,
select_multiple ethnicity,ethnic_groups,What ethnic groups comprise this settlement?,???? ??? ????? ???? ??? ????? ???????,?? ??? ????????? ?? ??? ?????? ???? ????,Select as many groups as are applicable,???? ?? ????? ?? ?????? ???? ?? ???? ??? ????? ?????,??? ??? ?????? ?????? ??? ?? ???? ???? ???,TRUE,,,,,,,,,,
text,ethnic_groups_other,Specify other,???? ???? ?????,??? ???? ?? ???,,,,TRUE,"selected(${ethnic_groups}, 'other') ",,,,,,,,,
end group,,,,,,,,,,,,,,,,,,
begin group,intentions,Intentions,?????/??????,???????/??????,,,,,"(selected(${consent},'yes'))",,,,,,,,,
select_one yesnodont,five_years,Have most households in your settlement lived here more than 5 years?,??? ????? ??????? ?? ????? ?? 5 ??? ???? ??? ????? ???? ????,??? ????? ? ????????? ???? ???? ? ???? ???? ??? ???? ?? ???? ???? ????,,,,TRUE,,,,,,,,,,
select_one yesno,relocate_plan,Do any residents of this settlement plan to move elsewhere within the next month?,??? ???? ????? ??? ??? ??? ?? ??? ????? ???? ???? ???? ??? ?? ????? ????? ?? ????,??? ??? ???????? (???) ???? ????????? ???? ??? ?? ?? ??????? ????? ?? ?? ??? ?? ??? ???,,,,TRUE,,,,,,,,,,
select_multiple pushpull,relocate_pushpull,For what reason are households planning to move elsewhere?,?? ???? ????? ??????? ?? ??? ???? ?? ???? ????? ?? ??????,? ??? ???? ?? ??? ????? ???? ??? ?? ?? ??? ?? ??? ???,,,,TRUE,"selected(${relocate_plan}, 'yes') ",,,,,,,,,
text,relocate_pushpull_other,Specify other,???? ???? ?????,??? ???? ?? ???,,,,TRUE,"selected(${relocate_pushpull}, 'other') ",,,,,,,,,
end group,,,,,,,,,,,,,,,,,,
begin group,covid19,COVID-19,????? ?????,????? 19,,,,,"(selected(${consent},'yes'))",,,,,,,,,
note,covid_note,"Now I would like to ask you about recent health concerns regarding the new coronavirus, including what residents in your settlement are doing and if their  behaviour has changed. ",???? ??????? ?? ???? ?????? ??? ???? ????? ????? ?? ??? ???? ??? ????? ?????? ??? ??? ??? ?? ?????? ??? ????? ??? ???? ???? ???? ???? ,"??? ?? ????? ?? ? ???? ???????? ??????? ? ??? ????? ?????? ?? ??? ?????? ????? ?? ???? ??? ?? ????? ?? ???????? ?? ????????? ?? ??? ?? ???? ? ???? ????? ???? ??? ??? ",,,,FALSE,,yes,,,,,,,,
select_one yesno_part,covid_aware,"Are residents in this settlement aware of the new coronavirus disease, also known as COVID-19?",???  ???????? ??? ??? ?? ????? ????? ?? ???? ????? 19 ??? ??? ????? ?? ??? ??????,??? ??? ???????? (???) ????????? ? ??? ????? ????? ?????? ??? ?? ? ????? 19 ?? ???? ?? ?????? ??? ???,,,,TRUE,,,,,,,,,,
begin group,covid_reponse,Site is aware of COVID-19,???? ?? ????? ????? ??? ????,??? ? ?????  ?? ????? ??? ??? ??,,,,,"(selected(${covid_aware}, 'yes')) or (selected(${covid_aware}, 'part'))",,,,,,,,,
select_one yesnodont,covid_concern,Is the new coronavirus disease an important concern for MOST residents of your settlement?,??? ????? ????? ?? ?????? ???? ???? ?????? ??? ??? ??? ??? ?,??? ? ????? ????? ??? ?????? ????? ? ???????? (???) ? ?????? ????????? ?????  ?? ? ??? ?? ??????? ???,,,,TRUE,,,,,,,,,,
select_one yesno_part,covid_prevent,Are MOST settlement residents aware of prevention methods for the new coronavirus disease?,??? ????? ???? ?????? ??? ??? ??? ?? ??? ??? ??? ?????? ???? ????? ????? ?? ??? ??????,??? ??? ???????? (???) ?????? ????????? ? ??? ????? ????? ?????? ? ?????? ? ??????? ??? ??? ???,,,,TRUE,,,,,,,,,,
select_multiple info_source,covid_info,From where / from whom are MOST settlement residents getting their information about coronavirus and prevention? ,??????? ????? ?????? ??? ??? ??? ??????? ? ??? ??? ??? ???? ???? ????? ????? ?? ?? ?? ? ??? ???? ????????,??? ???????? (???) ?????? ????????? ? ????? ????? ?? ?????? ?? ???? ?? ??????? ? ??? ???/?? ?? ??? ?????? ????,,,,TRUE,"(selected(${covid_prevent}, 'yes')) or (selected(${covid_prevent}, 'part'))",,,,,,,,,
text,covid_info_other,Specify other,???? ???? ?????,??? ???? ?? ???,,,,TRUE,"selected(${covid_info}, 'other') ",,,,,,,,,
select_multiple prevention,covid_safeprac,What actions are MOST settlement residents taking to PREVENT EXPOSURE to the coronavirus?,??????? ????? ?????? ??? ??? ??? ????? ??? ???? ?? ????? ????? ?? ??????? ?? ??? ??? ????? ????,? ?? ???????? ?????? ?????????  ? ????? ????? ? ?????? ?????? ?? ???? ???? ???? ????? ????,"Read options, select all that apply",????? ?? ?? ??????? ? ???? ?????? ?? ?????? ???? ?????? ????,"??????? ?????? ??? ??? ?????? ??? ?? ???? ????",TRUE,,,,"not((selected(., 'none')) and count-selected(.) >1)",Cannot select 'none' and any other option,????? ???/??? ???? ?? ?? ?? ?? ????? ??? ???? ?????? ???? ?????????,? ??? ???? ? ???? ??????? ??? ????? ??? ??????????,,,
text,covid_safeprac_other,Specify other,???? ???? ?????,??? ???? ?? ???,,,,TRUE,"selected(${covid_safeprac}, 'other') ",,,,,,,,,
select_multiple covid_action,covid_action,What actions would MOST settlement residents take if they THOUGHT THEY HAD coronavirus? ,?????? ?????? ??? ??? ??? ?? ???????? ?????? ??? ??? ??? ???? ?? ???? ?? ????? ????? ??? ????,? ?? ???????? ?????? ????????? ?? ??? /??? ?????? ??? ??? ?? ??? ?? ?? ??? ?? ????? ?????? ???? ???,"Read options, select all that apply",????? ?? ?? ??????? ? ???? ?????? ?? ?????? ???? ?????? ????,"??????? ?????? ??? ??? ?????? ??? ?? ???? ????",TRUE,,,,"(not((selected(., 'none')) and count-selected(.) >1)) and (not((selected(., 'dont_know')) and count-selected(.) >1))",Cannot select 'none' or 'don't know' and any other option,????? ???/??? ???? ?? ??????? ?? ?? ?? ?? ????? ??? ???? ?????? ???? ?????????,? ??? ?? ?? ?????? ???? ? ???? ??????? ??? ????? ??? ??????????,,,
text,covid_action_other,Specify other,???? ???? ?????,??? ???? ?? ???,,,,TRUE,"selected(${covid_action}, 'other') ",,,,,,,,,
select_multiple popn_group,covid_discriminate,Have ANY residents of your community been discriminated or neglected by their family or community as a result of Covid-19? ,??? ???? ?????? ????? ??? ?? ???? ????? ????? ?? ??? ??????? ?? ????? ??? ???? ????? ?? ???? ???? ????? ??? ????,"???? ????? ? ????? ??? ???? ?? ?? ??? ?? ? ?????? ?????? ?? ????? ?? ? ????? ?? ????? ???? ????? ??????? ???? ?? ???? ??? ???","Read options, select all that apply",????? ?? ?? ??????? ? ???? ?????? ?? ?????? ???? ?????? ????,"??????? ?????? ??? ??? ?????? ??? ?? ???? ????",TRUE,,,,"not((selected(., 'none')) and count-selected(.) >1)",Cannot select 'none' and any other option,????? ???/??? ???? ?? ?? ?? ?? ????? ??? ???? ?????? ???? ?????????,? ??? ???? ? ???? ??????? ??? ????? ??? ??????????,,,
text,covid_discriminate_other,Specify other,???? ???? ?????,"???? ???? ?? ???.",,,,TRUE,"selected(${covid_discriminate}, 'other') ",,,,,,,,,
select_multiple discriminate,discrimate_result,What have been the consequences?,????? ?? ?? ???? ????,????? ?? ?? ???,"Read options, select all that apply",????? ?? ?? ??????? ? ???? ?????? ?? ?????? ???? ?????? ????,"??????? ?????? ??? ??? ?????? ??? ?? ???? ????",TRUE,"not(selected(${covid_discriminate}, 'none')) ",,,,,,,,,
text,discrimate_result_other,Specify other,???? ???? ?????,"???? ???? ?? ???.",,,,TRUE,"selected(${discrimate_result}, 'other') ",,,,,,,,,
end group,,,,,,,,,,,,,,,,,,
end group,,,,,,,,,,,,,,,,,,
begin group,wash,WASH,??? ?????,"????? ?????? ????? ?? ??? ?????",,,,,"(selected(${consent},'yes'))",,,,,,,,,
note,wash_note,"Now I would like to ask about different water, hygiene, and sanitation sources available in your settlement, and how they are used by residents.",????? ?? ????? ?? ???? ????? ????? ?? ? ??? ????? ?????? ? ??? ??????? ????????  ?? ????? ??? ???? ???.,"??? ?? ????? ?? ????? ?? ???????? (???) ?? ? ????? ??? ?????? ?? ?????? ????? ? ?????? ?????? ?????? ?? ??? ?????? ????? ?? ??? ?? ?? ??? ?? ??? ? ?? ??? ? ????????? ???? ????? ????? ",,,,FALSE,,yes,,,,,,,,
select_one health_2k,water_point,Is there an accessible collective water point within 2km of your settlement?,??? ?? 2 ???? ???? ???? ??? ???? ???? ?? ?? ????? ????,??? ????? ? ??? ?? 2 ???? ???? ?? ? ??? ??? ?? ? ???? ???? ?????? ?? ???? ????,,,,TRUE,,,,,,,,,,
integer,water_point_no,How many functional collective water points (including taps) are available for settlement use within 2km?,??? ???? ???? ?? (?? ???? ?? ??) ???? ??????? ?? ?? 2 ???????? ??? ???? ???? ?????,? ???? ?? ???? ?????? (? ?? ?? ????) ? ?? ??? ?? 2 ???? ???? ?? ???? ????,,,,TRUE,"selected(${water_point}, 'yes') ",,,,,,,,,
select_one yesno_all,tap_sanitize,"Has the infrastructure at these functional collective water points (e.g. handle of handpump, tap) been cleaned or disinfected on a daily basis in the last 7 days?","??? ??7 ??? ????? ????? ????? ?? (?? ??? ????  ???? ? ???? ????? ?? ?? ??? ???) ?? ??? ?????? ???/?? ????? ??????? ",??? ? ???? ??? ????? ?????? (? ???? ???? ????? ?? ?? ? ?? ??? ???)  ?? ???? ? ???? ?? ??? ??? ??? ??? ?? ? ?????? ??  ??? ??? ????? ??? ????   ,,,,TRUE,"selected(${water_point}, 'yes') ",,,,,,,,,
select_one yesnodont,wash_gbv,Are these water points safely and easily accessible to women and girls?,??? ???? ? ?????? ?? ??? ???? ? ????? ?? ??? ????? ?? ?????? ??????,??? ? ???? ??? ?????? ?? ??? ?? ????? ?? ????? ??? ?????? ??? ?? ? ???? ????? ????? ???,"For example, are they in safe, public and well-lit areas so that women and girls can collect water on their own without disturbance.","?? ??? ???? ? ??? ??? ????? ?? ????? ??? ? ????? ? ????? ???? ????? ?? ???? ? ?????? ???? ?????? ??????? ?? ?????? ?? ?? ?? ??????.","? ????? ?? ???? ??? ?? ?????? ?? ???? ??? ?? ????? ??? ?? ?? ?? ??? ?? ????? ?? ?? ??? ??????? ?????? ?? ? ??? ??? ???? ??????",TRUE,"selected(${water_point}, 'yes') ",,,,,,,,,
select_multiple handwash,handwash_location,Where do settlement residents go to wash their hands?,???????? ????? ???? ???? ??? ??? ??? ?? ??? ?? ?????,??? ???????? (???) ????????? ? ??? ????????? ????? ????? ???,"Read options, select all that apply",????? ?? ?? ??????? ? ???? ?????? ?? ?????? ???? ?????? ????,"??????? ?????? ??? ??? ?????? ??? ?? ???? ????",TRUE,,,,,,,,,,
text,handwash_location_other,Specify other,???? ???? ?????,"???? ???? ?? ???.",,,,TRUE,"selected(${handwash_location}, 'other') ",,,,,,,,,
select_one wash_device,handwash_device,What kind of handwashing device do most households usually use to wash their hands?,??????? ??????? ?? ???? ??? ????? ???? ???? ??? ?? ??????? ??????,???? ????? ? ??? ?????? ?? ???? ??????/???? ??? ??? ?????,"A handwashing facility refers to a fixed or mobile device designed to contain, transport or regulate the flow of water to facilitate handwashing. They include sinks with tap water, buckets with taps, tippy-taps, and jugs or basins designated for handwashing as well as Aftaba","????? ??? ???? ????? ?? ?????? ??? ??? ?? ??????? ?? ?? ? ??? ???/?? ??? ????? ????? ???? ??? ??? ????? ??? ???? ?????? ? ?? ????","? ??? ????????? ???????? ??? ????? ??? ?? ??????? ????? ?? ??? ???? ?? ???? ??? ??? ?? ?? ??? ??? ?? ? ???? ? ?????? ???? ?? ??????? ????? ??? ???? ? ??? ????????? ??????? ?????? ???. ?? ??? ????? ? ?????? ?? ?? ?? ? ???? ?????? ????? ? ???? ???? ??? ???? ?? ? ???? ? ??????? ??? ???? ??? ??????/???? ",TRUE,"selected(${handwash_location}, 'public') or selected(${handwash_location}, 'public_facility') ",,,,,,,,,
text,handwash_device_other,Specify other,???? ???? ?????,"???? ???? ?? ???.",,,,TRUE,"selected(${handwash_device}, 'other') ",,,,,,,,,
select_one yesnodont,soap_avail,Are soap AND water available for handwashing at most handwashing facilities?,??? ????? ? ?? ??????? ?????? ??? ???? ???? ??? ?? ????? ????,???  ? ??? ?????? ????? ????? ?? ????  ???? ?????? ?? ?????? ?? ???? ????,,,,TRUE,,,,,,,,,,
begin group,handwash_time,Do MOST people in the settlement wash their hands at these times:,??? ??????? ????? ?? ????? ??? ??? ??? ?? ?? ??? ????? ???????:,??? ?? ??? ???????? (???) ?? ???? ??? ?? ????? ??? ??? ?????? ?? ?????? ?????????,,,,,,,table-list,,,,,,,
select_one yesnodont,time_handwash_meal,Before preparing a meal?,??? ?? ???? ????? ????,? ????? ? ??????? ??? ?????,,,,TRUE,,,,,,,,,,
select_one yesnodont,time_handwash_toilet,After using the latrine or toilet?,??? ?? ??????? ?? ??? ??????,? ????? ??? ???????,,,,TRUE,,,,,,,,,,
select_one yesnodont,time_handwash_return,After coming back from outside the home?,??? ?? ?????? ?? ????? ?????,??? ?? ? ?????? ??? ????? ????? ?????,,,,TRUE,,,,,,,,,,
end group,,,,,,,,,,,,,,,,,,
select_one yesnodont,handwash_crowded,Has overcrowding at these handwashing facilities been an issue in the last 7 days?,??? ?? 7 ??? ????? ?????? ??? ?? ?? ?? ??? ????? ?????? ??? ?? ?? ???? ???? ????,??? ?? ???? 7 ???? ??  ? ??? ????????? ? ????????? ?????? ?? ???? ???????  ??? ?????? ???,,,,TRUE,"selected(${handwash_location}, 'public') or selected(${handwash_location}, 'public_facility') ",,,,,,,,,
select_one health_2k,water_distance,Is the main source of potable or drinking water for your settlement within 2 km of your settlement?,??? ?? 2 ???? ???? ???? ??? ???? ???? ?? ???????? ?? ????? ????,??? ????? ? ??? ?? 2 ???? ???? ?? ? ??? ??? ?? ? ???? ? ???? ???? ?????? ?? ???? ????,,,,TRUE,,,,,,,,,,
select_one water_source_type,water_source,What is this source of potable or drinking water?,?? ??? ???? ???? ?? ???????? ?? ????? ????,??? ??? ? ???? ? ???? ?????? ???? ????,,,,TRUE,"selected(${water_distance}, 'yes') or selected(${water_distance}, 'no_further') ",,,,,,,,,
text,water_source_other,Specify other,???? ???? ?????,"???? ???? ?? ???.",,,,TRUE,"selected(${water_source}, 'other') ",,,,,,,,,
select_multiple water_barrier,water_barrier,Does your settlement face any barriers to accessing potable/drinking water?,??? ????? ??? ???? ?????? ?? ?? ????????  ?? ???? ?????? ????? ????,"??? ????? ? ???????? (???) ???? ????/???? ???? ?? ?? ?????? ?? ??? ?? ? ???? ?????? ??? ?? ?????",,,,TRUE,"selected(${water_distance}, 'yes') or selected(${water_distance}, 'no_further') ",,,"not((selected(., 'none')) and count-selected(.) >1)",Cannot select 'none' and any other option,????? ???/??? ???? ?? ?? ?? ?? ????? ??? ???? ?????? ???? ?????????,? ??? ???? ? ???? ??????? ??? ????? ??? ??????????,,,
text,water_barrier_other,Specify other,???? ???? ?????,"???? ???? ?? ???.",,,,TRUE,"selected(${water_barrier}, 'other') ",,,,,,,,,
select_one yesnodont,water_barrier_group,Are any specific groups more affected than others by these barriers?,??? ???? ????? ????? ?? ???? ??? ???? ?? ??? ????? ??? ????? ???? ????? ????,"???? ???? ?????? ??? ?? ???? ??? ???? ?????? ??? ?? ???",,,,TRUE,"selected(${water_barrier}, 'yes') ",,,,,,,,,
select_multiple popn_group,water_barrier_who,Which groups are more affected?,??? ???. ????? ???? ???? ?? ????? ??? ????,"[?? ???  ???? ??? ???? ??? ?????? ??? ?? ???",,,,TRUE,"selected(${water_barrier_group}, 'yes') ",,,"not((selected(., 'none')) and count-selected(.) >1)",Cannot select 'none' and any other option,????? ???/??? ???? ?? ?? ?? ?? ????? ??? ???? ?????? ???? ?????????,? ??? ???? ? ???? ??????? ??? ????? ??? ??????????,,,
text,water_barrier_who_other,Specify other,???? ???? ?????,"???? ???? ?? ???.",,,,TRUE,"selected(${water_barrier_who}, 'other') ",,,,,,,,,
end group,,,,,,,,,,,,,,,,,,
begin group,health,Health,???,??????,,,,,"(selected(${consent},'yes'))",,,,,,,,,
note,health_note,"Now I would like to ask about health centres available for your settlement, resident use of these centres and barriers you face in accessing them. I will also ask about resident wellbeing and stress.","????? ?? ????? ?? ???? ????? ??? ?? ????? ??? ? ??????? ??????? ?? ??? ????? ? ?????? ?? ???? ?????? ?? ???? ????? ????? ? ???? ???. ? ?????? ??????? ?? ???? ?????? ? ?????? ???? ???????? ??????","??? ?? ????? ? ??? ???????? ??????? ?? ??? ?????? ???? ?? ????? ?? ???????? (???) ??? ?? ??? ??? ?????  ?? ??? ?????? ?? ???? ????? ? ?????? ?? ??? ?? ?? ????. ???????? ?? ?? ? ????????? ? ???????/?????? ?? ???? ?? ??? ?? ?????? ????.",,,,FALSE,,yes,,,,,,,,
select_one health_2k,health_distance,Is there an accessible health centre within 2 km of your settlement?,??? ?? ????? 2 ???????? ???? ??? ?? ???? ??? ???? ????? ???? ?????,"??? ???? ???????? ???? ?? ????? ? ???????? (???) ??? ?? 2 ???? ???? ?? ???? ??? ???? ????",,,,TRUE,,,,,,,,,,
select_multiple health_inaccess,health_inaccess,Where do settlement residents seek treatment if they become sick or injured?,???????? ????? ?? ???? ?????? ?? ????? ??? ????? ????? ?? ??????????,"???? ? ???????? (???) ????????? ?? ??? ?????? ?? ???? ?? ?? ?????? ?????  ????? ???",,,,TRUE,"selected(${health_distance}, 'no_none') ",,,,,,,,,
text,health_inaccess_other,Specify other,???? ???? ?????,"???? ???? ?? ???.",,,,TRUE,"selected(${health_inaccess}, 'other') ",,,,,,,,,
integer,inaccess_distance,"How long, in minutes by driving, would it take to travel to the nearest accessible health centre?", ????? ??? ?? ????????? ???? ??? ???? ???? ??? ????? ????? ?? ?? ?? ???????,????? ? ??? ??? ?? ???? ???? ???????? ???? ?? ?? ???? ?? ????? ??? ??? ?? ?????,,,,TRUE,"selected(${health_inaccess}, 'travel') ",,,,,,,,,
select_one yesnodont,health_gbv,Does this health facility have female staff or health services to treat women and girls?,"??? ???? ???? ??? ???? ????? ????? ??????? ????? ? ????? ???? ?????",??? ??? ???????? ???? ?? ? ??? ? ?????? ????? ????? ???????? ?? ????? ???? ????,,,,TRUE,"selected(${health_distance}, 'yes') or selected(${health_distance}, 'no_further')",,,,,,,,,
select_one yesnodont,health_use_recent,"In the last 3 months, has any resident of your settlement sought care at this health facility?",??? ???? ??? ???? ??? ?? 3 ??? ????? ???? ???? ??? ????? ????,??? ?? ???? 3 ?????? ?? ????? ? ??? ??? ?? ??? ???????? ???? ?? ?????? ??? ???,,,,TRUE,"selected(${health_distance}, 'yes') or selected(${health_distance}, 'no_further')",,,,,,,,,
select_one yesnodont,health_use_satisfy,Were they satisifed with the quality of the healthcare they received there?,??? ???? ?? ????? ????? ??? ?? ?????? ????? ???? ??????,??? ???? ??? ???????? ???? ???? ? ????? ??? ??? ???,,,,TRUE,"selected(${health_distance}, 'yes') or selected(${health_distance}, 'no_further')",,,,,,,,,
select_multiple health_unsatisfy,health_use_unsatisfy,What about the service was not to their satisfaction?,???? ????? ???? ????? ???? ???? ??????,??? ???????? ???? ? ???? ?????? ??? ???? ?? ???,,,,TRUE,"selected(${health_use_satisfy}, 'no') ",,,"(not((selected(., 'prefer_not')) and count-selected(.) >1)) and (not((selected(., 'dont_know')) and count-selected(.) >1))",Cannot select 'prefer not to answer' or 'don't know' and any other option,????? ???/??? ???? ?? ??????? ?? ?? ?? ?? ????? ??? ???? ?????? ???? ?????????,? ??? ?? ?? ?????? ???? ? ???? ??????? ??? ????? ??? ??????????,,,
text,health_use_unsatisfy_other,Specify other,???? ???? ?????,"???? ???? ?? ???.",,,,TRUE,"selected(${health_use_unsatisfy}, 'other') ",,,,,,,,,
select_multiple health_barrier,health_barrier,Did they face any barriers to accessing healthcare at this centre?,??? ?? ??? ???? ?????? ???? ?????? ?? ?????? ??? ??? ???? ????? ????,???? ?? ?? ???? ?? ? ?????? ????? ? ?????? ???? ?? ??? ?? ? ???? ?????? ??? ?? ????,,,,TRUE,"selected(${health_distance}, 'yes') or selected(${health_distance}, 'no_further')",,,"not((selected(., 'none')) and count-selected(.) >1)",Cannot select 'none' and any other option,????? ???/??? ???? ?? ?? ?? ?? ????? ??? ???? ?????? ???? ?????????,? ??? ???? ? ???? ??????? ??? ????? ??? ??????????,,,
text,health_barrier_other,Specify other,???? ???? ?????,"???? ???? ?? ???.",,,,TRUE,"selected(${health_barrier}, 'other') ",,,,,,,,,
select_one yesnodont,health_barrier_group,Are any specific groups more affected than others by these barriers to healthcare?,??? ???? ???? ????? ????? ?? ???? ??? ???? ?? ??? ????? ?????? ??? ??? ????? ??? ????,??? ? ?????? ????? ?? ???? ?? ???? ???? ??? ?? ???? ???  ??? ?????? ??? ?? ???,,,,TRUE,"selected(${health_distance}, 'yes') or selected(${health_distance}, 'no_further')",,,,,,,,,
