district,nb_sites,idp_hhs,idp_indvl,prolonged_hhs,prolonged_indvl,protracted_hhs,protracted_indvl,refugee_hhs,refugee_indvl,returnee_hhs,returnee_indvl,economic_hhs,economic_indvl,nomad_hhs,nomad_indvl,host_hhs,host_indvl,iset_population_discrete,iset_population_mixed,location_urban,location_suburban,location_rural,idp_mixed,idp_discrete,prolong_mixed,prolong_discrete,protract_mixed,protract_discrete,refugee_mixed,refugee_discrete,returnee_mixed,returnee_discrete,economic_mixed,economic_discrete,nomad_mixed,nomad_discrete,migrant_population.idp,migrant_population.prolong,migrant_population.protract,migrant_population.refugee,migrant_population.returnee,relocate_plan_yes,relocate_plan_no,relocate_plan_dk,relocate_pushpull_1_label,relocate_pushpull_1_pct,relocate_pushpull_2_label,relocate_pushpull_2_pct,relocate_pushpull_3_label,relocate_pushpull_3_pct,five_years_yes,five_years_no,five_years_dk,idp_3mo_hhs,idp_prov_origin_1_label,idp_prov_origin_1_pct,idp_prov_origin_2_label,idp_prov_origin_2_pct,idp_prov_origin_3_label,idp_prov_origin_3_pct,returnee_3mo_hhs,returnee_origin_1_label,returnee_origin_1_pct,returnee_origin_2_label,returnee_origin_2_pct,returnee_origin_3_label,returnee_origin_3_pct,shelter_type_1_label,shelter_type_1_pct,shelter_type_2_label,shelter_type_2_pct,shelter_type_3_label,shelter_type_3_pct,tenure_insecure,hh_rooms,accom_1_label,accom_1_pct,accom_2_label,accom_2_pct,accom_3_label,accom_3_pct,host_relation_positive,host_relation_neutral,host_relation_negative,host_relation_prefer_not,eviction_threat_yes,eviction_threat_no,eviction_threat_dk,eviction_threat_local_auth,eviction_threat_gvt,eviction_threat_local_host_comm,eviction_threat_local_ot,comm_represent_yes,comm_represent_no,comm_represent_dk,relocation_yes,relocation_no,site_land_yes,site_land_no,site_land_dk,site_land_owner_gvt,site_land_owner_prv,site_land_owner_un,site_land_owner_common,site_land_owner_ot,water_distance_fs,water_source_fs,water_barrier_1_label,water_barrier_1_pct,water_barrier_2_label,water_barrier_2_pct,water_barrier_3_label,water_barrier_3_pct,health_distance_fs,health_satisfy_constraint_yes,health_satisfy_constraint_no,health_satisfy_constraint_dk,health_unsatisfy_constraint.crowded,health_unsatisfy_constraint.hours,health_unsatisfy_constraint.expensive,health_unsatisfy_constraint.drug_unavail,health_unsatisfy_constraint.staff_behave,health_unsatisfy_constraint.other,health_unsatisfy_constraint.dont_know,mhpss_aware_yes,mhpss_aware_no,mhpss_aware_dk,health_barrier_1_label,health_barrier_1_pct,health_barrier_2_label,health_barrier_2_pct,health_barrier_3_label,health_barrier_3_pct,safe_likert_verygood,safe_likert_good,safe_likert_neutral,safe_likert_poor,safe_likert_verypoor,move_free_m_yes,move_free_m_no,move_free_m_dk,move_why_m_1_label,move_why_m_1_pct,move_why_m_2_label,move_why_m_2_pct,move_why_m_3_label,move_why_m_3_pct,move_free_f_yes,move_free_f_no,move_free_f_dk,move_why_f_1_label,move_why_f_1_pct,move_why_f_2_label,move_why_f_2_pct,move_why_f_3_label,move_why_f_3_pct,livelihood_1_label,livelihood_1_pct,livelihood_2_label,livelihood_2_pct,livelihood_3_label,livelihood_3_pct,food_source_1_label,food_source_1_pct,food_source_2_label,food_source_2_pct,food_source_3_label,food_source_3_pct,vul_index_low,vul_index_moderate,vul_index_moderate_high,vul_index_high,covid_aware_yes,covid_aware_part,covid_aware_no,covid_concern_yes,covid_concern_no,covid_concern_dk,covid_info_1_label,covid_info_1_pct,covid_info_2_label,covid_info_2_pct,covid_info_3_label,covid_info_3_pct,covid_safeprac_1_label,covid_safeprac_1_pct,covid_safeprac_2_label,covid_safeprac_2_pct,covid_safeprac_3_label,covid_safeprac_3_pct,aid_govt_yes,aid_govt_no,aid_govt_dk,aid_services_1_label,aid_services_1_pct,aid_services_2_label,aid_services_2_pct,aid_services_3_label,aid_services_3_pct,vul_chronic_fs,soap_avail_yes,soap_avail_no,soap_avail_dk,using_public_facility,handwash_crowded_yes,handwash_crowded_no,handwash_crowded_dk,water_point_yes,water_point_no_further,water_point_no_none,tap_sanitize_all,tap_sanitize_some,tap_sanitize_no,tap_sanitize_dk,safety_change_increase,safety_change_decrease,safety_change_no,safety_change_dk,covid_coping_1_label,covid_coping_1_pct,covid_coping_2_label,covid_coping_2_pct,covid_coping_3_label,covid_coping_3_pct,mhpss_secondary_1_label,mhpss_secondary_1_pct,mhpss_secondary_2_label,mhpss_secondary_2_pct,mhpss_secondary_3_label,mhpss_secondary_3_pct,vul_sleeping_prop,covid_shelter_1_label,covid_shelter_1_pct,covid_shelter_2_label,covid_shelter_2_pct,covid_shelter_3_label,covid_shelter_3_pct,market_soldout_yes,market_soldout_no,market_soldout_dk,soldout_item_1_label,soldout_item_1_pct,soldout_item_2_label,soldout_item_2_pct,soldout_item_3_label,soldout_item_3_pct,work_change_fullstop,work_change_partstop,work_change_nostop,school_alternatives.other_facility,school_alternatives.home_school,school_alternatives.other,school_alternatives.no,school_alternatives.dont_know
kandahar,56,7129,47020,7158,46608,7561,50148,485,3505,3972,21905,335,3160,50,410,7281,62433,46,54,75,0,7,55.26,51.43,84.38,82.76,56.41,50,5.56,3.7735849056603774,26.53,16.28,9.26,3.92,1.82,1.82,69.64,91.07,69.64,8.93,35.71,14,86,0,Land dispute forced them off land / shelter,33,No work opportunities available here,33,Better security where they are moving,33,80,5,12,1037,Helmand,22,Uruzgan,16,Ghor,3,235,Pakistan,100,Iran,0,Tajikistan,0,Permanent shelter (mud),82,Makeshift Shelter,9,Tents (emergency shelter),4,27,4.392857142857143,Rent shelter,66,Own shelter WITH documentation,18,Own shelter WITHOUT documentation,9,70,14,0,16,12,79,9,71.43,14.29,14.29,0,93,5,2,18,82,91,2,7,22,71,0,2,0,23,0.05357142857142857,Cost is prohibitive i.e. water trucking,45,No barriers,28,Long line/wait to access waterpoint,24,43,54,43,4,61.54,30.77,61.54,76.92,46.15,0,0,50,43,7,Insufficient capacity of health centre,50,Cost of care/ treatment,39,Cost of medicines,32,39,30,14,14,2,98,2,0,Fear for Personal Safety,100,Discrimination / harrassment from host community,0,Socio-cultural barriers between settlement members and host community,0,86,14,0,Socio-cultural barriers between settlement members and host community,80,Government restrictions related to coronavirus,40,Fear for Personal Safety,40,Unskilled daily labour (without contract),71,Small business / sale of goods or services,12,Farming (cash crop),4,Purchase in markets inside the settlement,87,Purchase in markets outside the settlement,60,Own production,33,27,43,29,2,100,0,0,98,2,0,"Media (TV, radio)",93,Healthcare workers,69,Government,52,Wash hands frequently,87,Practice physical distancing,77,Wear masks and gloves if experiencing symptoms,50,45,46,4,Information on the coronavirus preventive measures at HOUSEHOLD level,54,Information on the coronavirus preventive measures at COMMUNITY level,39,Food distribution,4,45.45454545454545,86,12,2,14.285714285714285,88,12,0,82,18,0,17,31,46,6,34,14,17,34,No unusual behavior,53,Social withdrawal,47,Angry / aggressive behaviour,7,Increased poverty/no income,100,Increased health issues,40,Community violence,30,12.727272727272727,Provision of tents to accommodate sick persons inside the site,41,No preference for shelter aid,21,Tools and materials (in cash/ in kind) to rapidly extend shelters to accommodate the sick,9,55,43,2,Food,100,Soap,82,Hand sanitizer and other hygiene materials,76,54,46,0,29.63,51.85,0,37.04,0
karukh,1,0,0,0,0,1000,8000,0,0,0,0,0,0,0,0,0,0,100,0,100,0,0,0,0,0,0,NaN,100,0,0,0,0,0,0,0,0,0,0,100,0,0,0,100,0,NA,NA,NA,NA,NA,NA,100,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,Permanent shelter (mud),100,Tents (emergency shelter),0,Makeshift Shelter,0,100,1,Staying in shelter for free WITH owner's consent,100,Own shelter WITH documentation,0,Own shelter WITHOUT documentation,0,0,0,0,100,0,100,0,NaN,NaN,NaN,NaN,100,0,0,100,0,100,0,0,100,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,100,0,0,100,100,100,0,0,0,0,0,100,0,NA,NA,NA,NA,NA,NA,100,0,0,0,0,100,0,0,NA,NA,NA,NA,NA,NA,100,0,0,NA,NA,NA,NA,NA,NA,Unskilled daily labour (without contract),100,Small business / sale of goods or services,0,Skilled daily labour / (without contract),0,NA,NA,NA,NA,NA,NA,100,0,0,0,100,0,0,100,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,0,0,Information on the coronavirus preventive measures at COMMUNITY level,100,Information on the coronavirus preventive measures at HOUSEHOLD level,0,Councelling for vulnerable residents,0,0,100,0,0,0,100,0,0,100,0,0,0,0,100,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NaN,Tools and materials (in cash/ in kind) to rapidly extend shelters to accommodate the sick,100,Provision of tents to accommodate sick persons inside the site,0,Relocation of unsick family members to other relatives,0,0,100,0,NA,NA,NA,NA,NA,NA,100,0,0,0,0,0,100,0
keshem,1,400,1600,200,1000,200,800,0,0,50,400,150,600,0,0,2000,8000,0,100,100,0,0,100,NaN,100,NaN,100,NaN,0,0,100,NaN,100,NaN,0,0,100,100,100,0,100,0,100,0,NA,NA,NA,NA,NA,NA,100,0,0,70,Badakhshan,100,Badghis,0,Baghlan,0,50,Iran,100,Pakistan,0,Tajikistan,0,Permanent shelter (mud),100,Tents (emergency shelter),0,Makeshift Shelter,0,0,2,Rent shelter,100,Own shelter WITH documentation,0,Own shelter WITHOUT documentation,0,100,0,0,0,0,100,0,NaN,NaN,NaN,NaN,100,0,0,100,0,100,0,0,0,100,0,0,0,100,0,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,100,0,Cost of transport,100,Cost of medicines,100,Insufficient capacity of health centre,100,0,0,0,100,0,100,0,0,NA,NA,NA,NA,NA,NA,100,0,0,NA,NA,NA,NA,NA,NA,Unskilled daily labour (without contract),100,Small business / sale of goods or services,0,Skilled daily labour / (without contract),0,Purchase in markets outside the settlement,100,NGO food distributions,0,Purchase in markets inside the settlement,0,0,0,100,0,100,0,0,100,0,0,Government,100,"UN, NGOs or INGOs",100,"Media (TV, radio)",100,Wash hands frequently,100,Practice physical distancing,100,Wear masks and gloves if experiencing symptoms,100,100,0,0,Information on the coronavirus preventive measures at COMMUNITY level,100,Information on the coronavirus preventive measures at HOUSEHOLD level,0,Councelling for vulnerable residents,0,100,100,0,0,0,NA,NA,NA,0,0,100,NA,NA,NA,NA,100,0,0,0,Angry / aggressive behaviour,100,Social withdrawal,0,Dangerous/risky behaviours,0,Increased poverty/no income,100,Increased gender-based violence,0,Increased health issues,0,100,Tools and materials (in cash/ in kind) to rapidly extend shelters to accommodate the sick,100,Provision of tents to accommodate sick persons inside the site,0,Relocation of unsick family members to other relatives,0,100,0,0,Food,100,Soap,0,Hand sanitizer and other hygiene materials,0,0,100,0,NaN,NaN,NaN,NaN,NaN
khas_kunar,3,102,510,29,197,123,774,0,0,1071,7068,106,730,0,0,766,5351,0,100,0,0,100,66.67,0,100,NaN,100,NaN,0,0,100,NaN,66.67,0,0,0,66.67,100,100,0,100,33,67,0,NA,NA,NA,NA,NA,NA,100,0,0,0,NA,NA,NA,NA,NA,NA,0,Pakistan,100,Iran,0,Tajikistan,0,Permanent shelter (mud),100,Tents (emergency shelter),0,Makeshift Shelter,0,0,2,Own shelter WITH documentation,100,Own shelter WITHOUT documentation,0,Rent shelter,0,100,0,0,0,0,100,0,NaN,NaN,NaN,NaN,100,0,0,0,100,100,0,0,33,67,0,0,0,0,0,Long line/wait to access waterpoint,100,Unpleasant colour/taste/smell of water,0,Waterpoint has low capacity (runs out of water often),0,33,100,0,0,100,0,100,100,0,0,0,33,67,0,Cost of medicines,100,Cost of transport,50,Don't know where to go,0,67,33,0,0,0,100,0,0,NA,NA,NA,NA,NA,NA,100,0,0,NA,NA,NA,NA,NA,NA,Farming (livestock),67,Small business / sale of goods or services,0,Unskilled daily labour (without contract),0,Purchase in markets inside the settlement,100,NGO food distributions,0,Purchase in markets outside the settlement,0,33,0,67,0,100,0,0,100,0,0,Community or religious leaders,100,"Media (TV, radio)",100,Text message alerts,100,Wash hands frequently,100,Practice physical distancing,100,Self-isolate if experiencing symtoms,0,0,100,0,NA,NA,NA,NA,NA,NA,0,67,0,0,66.66666666666666,50,50,0,100,0,0,0,0,100,0,NA,NA,NA,NA,Social withdrawal,100,Angry / aggressive behaviour,100,Dangerous/risky behaviours,50,Increased gender-based violence,100,Increased poverty/no income,100,Increased health issues,50,100,Tools and materials (in cash/ in kind) to rapidly extend shelters to accommodate the sick,100,Provision of tents to accommodate sick persons inside the site,0,Relocation of unsick family members to other relatives,0,33,67,0,Food,100,Soap,0,Hand sanitizer and other hygiene materials,0,33,67,0,66.67,66.67,0,0,0
khogyani,4,90,640,110,750,120,940,0,0,1060,7830,50,350,0,0,60,480,50,50,0,0,100,50,66.67,50,66.67,66.67,50,0,0,100,100,0,25,0,0,75,75,75,0,100,0,100,0,NA,NA,NA,NA,NA,NA,100,0,0,3,Nangarhar,100,Badakhshan,0,Badghis,0,0,Pakistan,100,Iran,0,Tajikistan,0,Permanent shelter (mud),100,Tents (emergency shelter),0,Makeshift Shelter,0,25,2,Own shelter WITH documentation,75,Own shelter WITHOUT documentation,25,Rent shelter,0,100,0,0,0,0,100,0,NaN,NaN,NaN,NaN,100,0,0,50,50,75,25,0,33,67,0,0,0,100,0,Long line/wait to access waterpoint,100,Waterpoints are too far,100,Waterpoint has low capacity (runs out of water often),50,100,NA,NA,NA,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,100,0,Cost of transport,100,Long travel time,100,Insufficient capacity of health centre,100,100,0,0,0,0,100,0,0,NA,NA,NA,NA,NA,NA,100,0,0,NA,NA,NA,NA,NA,NA,Farming (livestock),75,Unskilled daily labour (without contract),25,Small business / sale of goods or services,0,Purchase in markets outside the settlement,100,NGO food distributions,0,Purchase in markets inside the settlement,0,0,25,75,0,100,0,0,100,0,0,Community or religious leaders,100,"Media (TV, radio)",100,Government,0,Wash hands frequently,100,Practice physical distancing,100,Self-isolate if experiencing symtoms,100,0,100,0,NA,NA,NA,NA,NA,NA,0,0,100,0,0,NA,NA,NA,0,75,25,NA,NA,NA,NA,NA,NA,NA,NA,Social withdrawal,100,Angry / aggressive behaviour,0,Dangerous/risky behaviours,0,Increased poverty/no income,100,Increased gender-based violence,0,Increased health issues,0,100,Tools and materials (in cash/ in kind) to rapidly extend shelters to accommodate the sick,100,Provision of tents to accommodate sick persons inside the site,0,Relocation of unsick family members to other relatives,0,100,0,0,Food,100,Soap,0,Hand sanitizer and other hygiene materials,0,100,0,0,0,100,0,0,0
kohestan_badakhshan,1,0,0,4,50,0,0,15,300,0,0,0,0,0,0,0,0,100,0,100,0,0,0,0,NaN,100,0,0,NaN,100,0,0,0,0,0,0,0,100,0,100,0,0,100,0,NA,NA,NA,NA,NA,NA,0,100,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,Permanent shelter (mud),100,Tents (emergency shelter),0,Makeshift Shelter,0,100,2,Rent shelter,100,Own shelter WITH documentation,0,Own shelter WITHOUT documentation,0,0,100,0,0,0,100,0,NaN,NaN,NaN,NaN,0,100,0,0,100,100,0,0,0,100,0,0,0,0,0,No barriers,100,Long line/wait to access waterpoint,0,Unpleasant colour/taste/smell of water,0,0,0,100,0,0,0,100,100,0,0,0,0,100,0,Cost of medicines,100,Insufficient capacity of health centre,100,Don't know where to go,0,0,0,0,0,100,0,100,0,Fear for Personal Safety,100,Discrimination / harrassment from host community,0,Socio-cultural barriers between settlement members and host community,0,0,100,0,Fear for Personal Safety,100,Discrimination / harrassment from host community,0,Socio-cultural barriers between settlement members and host community,0,Unskilled daily labour (without contract),100,Small business / sale of goods or services,0,Skilled daily labour / (without contract),0,Purchase in markets inside the settlement,100,NGO food distributions,0,Purchase in markets outside the settlement,0,0,100,0,0,100,0,0,100,0,0,"Media (TV, radio)",100,Text message alerts,100,Healthcare workers,100,Wash hands frequently,100,Self-isolate if experiencing symtoms,100,Do not touch your face,100,100,0,0,Information on the coronavirus preventive measures at COMMUNITY level,100,Information on the coronavirus preventive measures at HOUSEHOLD level,0,Councelling for vulnerable residents,0,0,100,0,0,0,NA,NA,NA,100,0,0,0,0,100,0,100,0,0,0,Angry / aggressive behaviour,100,Social withdrawal,0,Dangerous/risky behaviours,0,Increased poverty/no income,100,Increased gender-based violence,0,Increased health issues,0,100,Renting of hotel/hostel to isolate sick individuals for 14 days,100,Tools and materials (in cash/ in kind) to rapidly extend shelters to accommodate the sick,0,Provision of tents to accommodate sick persons inside the site,0,100,0,0,Food,100,"Construction materials (wood, nails, cement bricks, glass, etc)",100,Soap,0,0,100,0,100,100,0,0,0
kunduz,78,4070,24405,9479,59436,4745,30430,0,0,1133,4090,75,600,0,0,28868,192329,1,99,46,0,1,51.95,2.63,84.42,7.69,54.55,2.7777777777777777,0,0,11.54,0,3.85,0,0,0,52.56,84.62,55.13,0,11.54,13,87,0,Better opportunity for jobs,70,Better security where they are moving,40,No work opportunities available here,30,94,6,0,396,Badakhshan,7,Takhar,7,Baghlan,4,57,Pakistan,56,Iran,44,Tajikistan,0,Permanent shelter (mud),79,Permanent shelter (brick),18,Transitional Shelter,3,24,3.3461538461538463,Own shelter WITH documentation,47,Rent shelter,45,Own shelter WITHOUT documentation,6,71,29,0,0,8,78,14,50,16.67,33.33,16.67,95,5,0,3,97,100,0,0,15,85,0,0,0,4,0,No barriers,69,Long line/wait to access waterpoint,14,Unpleasant colour/taste/smell of water,13,38,60,35,5,40,6.67,86.67,80,53.33,0,0,23,74,3,Cost of medicines,49,No barriers,32,Insufficient capacity of health centre,28,23,1,32,36,8,95,5,0,Fear for Personal Safety,100,Government restrictions related to coronavirus,33,Discrimination / harrassment from host community,0,63,21,17,Fear for Personal Safety,87,Government restrictions related to coronavirus,47,Socio-cultural barriers between settlement members and host community,7,Unskilled daily labour (without contract),67,Small business / sale of goods or services,23,Skilled daily labour / (without contract),6,Purchase in markets inside the settlement,90,Provided from family and friends in the area,30,Purchase in markets outside the settlement,26,3,46,50,1,100,0,0,91,9,0,"Media (TV, radio)",96,Community or religious leaders,56,Text message alerts,51,Practice physical distancing,87,Wash hands frequently,65,Avoid large crowds and gatherings,64,37,62,1,Food distribution,62,Information on the coronavirus preventive measures at COMMUNITY level,31,Information on the coronavirus preventive measures at HOUSEHOLD level,7,46.75324675324675,77,22,1,21.794871794871796,24,71,6,97,3,0,4,14,78,4,93,3,3,0,Social withdrawal,58,"Multiple unexplained physical complaints (headaches, stomach pains etc.)",27,No unusual behavior,25,Increased poverty/no income,99,Community violence,55,Increased insecurity,30,29.87012987012987,No preference for shelter aid,54,Tools and materials (in cash/ in kind) to rapidly extend shelters to accommodate the sick,17,Relocation of unsick family members to other relatives,14,42,58,0,Food,100,Hand sanitizer and other hygiene materials,56,Fuel / Heating materials,34,69,31,0,8.11,35.14,0,60.81,2.7
lashkargah,16,645,2169,613,2450,792,3995,150,550,380,1980,0,0,0,0,6315,32920,6,94,81,0,19,87.5,0,75,0,81.25,0,6.25,0,20,7.69,0,0,0,0,87.5,75,81.25,6.25,25,25,75,0,NA,NA,NA,NA,NA,NA,100,0,0,377,Helmand,79,Nimroz,7,Uruzgan,7,30,Pakistan,100,Iran,0,Tajikistan,0,Permanent shelter (mud),100,Tents (emergency shelter),0,Makeshift Shelter,0,25,4.8125,Rent shelter,44,Own shelter WITH documentation,31,Own shelter WITHOUT documentation,12,88,0,0,12,6,94,0,0,0,100,0,69,31,0,19,81,100,0,0,12,88,0,0,0,69,0,Waterpoint has low capacity (runs out of water often),62,Unpleasant colour/taste/smell of water,50,Waterpoints are unsafe,25,62,57,29,0,100,0,0,80,40,0,0,19,69,12,Long travel time,57,Insufficient capacity of health centre,57,Cost of care/ treatment,29,50,19,19,6,6,100,0,0,NA,NA,NA,NA,NA,NA,94,6,0,NA,NA,NA,NA,NA,NA,Unskilled daily labour (without contract),62,Farming (cash crop),25,Small business / sale of goods or services,0,Purchase in markets inside the settlement,100,Purchase in markets outside the settlement,100,Own production,50,0,62,38,0,100,0,0,100,0,0,"Media (TV, radio)",100,Healthcare workers,50,Community or religious leaders,12,Wash hands frequently,100,Practice physical distancing,100,Self-isolate if experiencing symtoms,88,0,100,0,NA,NA,NA,NA,NA,NA,50,100,0,0,31.25,57,43,0,75,25,0,15,38,15,15,0,100,0,0,Social withdrawal,50,No unusual behavior,38,"Multiple unexplained physical complaints (headaches, stomach pains etc.)",25,Increased poverty/no income,100,Increased health issues,12,Increased gender-based violence,0,18.75,Renting of hotel/hostel to isolate sick individuals for 14 days,75,Provision of tents to accommodate sick persons inside the site,25,Tools and materials (in cash/ in kind) to rapidly extend shelters to accommodate the sick,0,0,100,0,NA,NA,NA,NA,NA,NA,56,44,0,86.67,66.67,0,13.33,0
mandol,1,0,0,0,0,0,0,0,0,100,700,0,0,0,0,150,1050,0,100,0,0,100,0,0,0,0,0,0,0,0,100,NaN,0,0,0,0,0,0,0,0,100,100,0,0,Intimidation and harassment by host community/local authorities,100,Land dispute forced them off land / shelter,0,No work opportunities available here,0,100,0,0,0,NA,NA,NA,NA,NA,NA,20,Pakistan,100,Iran,0,Tajikistan,0,Permanent shelter (mud),100,Tents (emergency shelter),0,Makeshift Shelter,0,0,3,Own shelter WITH documentation,100,Own shelter WITHOUT documentation,0,Rent shelter,0,100,0,0,0,0,100,0,NaN,NaN,NaN,NaN,100,0,0,0,100,100,0,0,0,100,0,0,0,0,0,Long line/wait to access waterpoint,100,Unpleasant colour/taste/smell of water,0,Waterpoint has low capacity (runs out of water often),0,0,0,100,0,100,100,100,100,0,0,0,0,100,0,Cost of care/ treatment,100,Cost of medicines,100,Long travel time,100,100,0,0,0,0,100,0,0,NA,NA,NA,NA,NA,NA,100,0,0,NA,NA,NA,NA,NA,NA,Unskilled daily labour (without contract),100,Small business / sale of goods or services,0,Skilled daily labour / (without contract),0,Purchase in markets inside the settlement,100,Provided from family and friends in the area,100,NGO food distributions,0,0,0,100,0,100,0,0,100,0,0,Government,100,Community or religious leaders,100,"UN, NGOs or INGOs",100,Wash hands frequently,100,Practice physical distancing,100,Self-isolate if experiencing symtoms,100,0,100,0,NA,NA,NA,NA,NA,NA,0,0,100,0,100,100,0,0,100,0,0,0,0,100,0,NA,NA,NA,NA,Social withdrawal,100,Angry / aggressive behaviour,100,Dangerous/risky behaviours,0,Increased gender-based violence,100,Increased poverty/no income,100,Increased health issues,100,0,Tools and materials (in cash/ in kind) to rapidly extend shelters to accommodate the sick,100,Provision of tents to accommodate sick persons inside the site,0,Relocation of unsick family members to other relatives,0,0,100,0,NA,NA,NA,NA,NA,NA,100,0,0,0,0,0,100,0
mandozayi,8,120,1120,202,1522,80,480,0,0,20,250,15,200,0,0,260,2460,38,62,25,0,75,14.29,14.29,50,40,12.5,0,0,0,0,12.5,0,12.5,0,0,25,62.5,12.5,0,12.5,25,75,0,Better opportunity for jobs,100,Intimidation and harassment by host community/local authorities,0,Land dispute forced them off land / shelter,0,62,12,25,22,Baghlan,50,Paktika,50,Badakhshan,0,10,Pakistan,100,Iran,0,Tajikistan,0,Permanent shelter (mud),100,Tents (emergency shelter),0,Makeshift Shelter,0,75,2.5,Rent shelter,62,Own shelter WITH documentation,25,Staying in shelter for free WITH owner's consent,12,75,25,0,0,25,75,0,0,0,100,0,75,25,0,12,88,75,0,25,0,100,0,0,0,25,0,Long line/wait to access waterpoint,43,No barriers,43,Waterpoints are too far,29,88,80,20,0,0,0,0,100,0,0,0,25,50,25,Cost of transport,60,Cost of medicines,40,Long travel time,40,88,12,0,0,0,100,0,0,NA,NA,NA,NA,NA,NA,88,12,0,Socio-cultural barriers between settlement members and host community,100,Discrimination / harrassment from host community,0,Government restrictions related to coronavirus,0,Unskilled daily labour (without contract),50,Small business / sale of goods or services,38,Farming (cash crop),12,Purchase in markets inside the settlement,88,Purchase in markets outside the settlement,75,NGO food distributions,0,0,38,50,12,88,12,0,100,0,0,"Media (TV, radio)",100,Government,50,Family and friends,12,Wash hands frequently,100,Practice physical distancing,62,Self-isolate if experiencing symtoms,62,50,50,0,Food distribution,50,Information on the coronavirus preventive measures at COMMUNITY level,25,Provision of additional WASH services,25,50,62,38,0,25,50,50,0,75,12,12,0,33,50,17,0,0,100,0,Social withdrawal,50,"Multiple unexplained physical complaints (headaches, stomach pains etc.)",25,No unusual behavior,25,Increased poverty/no income,100,Increased gender-based violence,29,Increased health issues,14,62.5,Tools and materials (in cash/ in kind) to rapidly extend shelters to accommodate the sick,38,Relocation of unsick family members to other relatives,25,Shelter repair support to upgrade and repair settlement shelters,25,43,43,14,Food,100,Hand sanitizer and other hygiene materials,67,Cooking / kitchen materials,67,62,38,0,37.5,50,0,37.5,0
marawara,4,114,1100,514,4440,460,3450,0,0,43,390,84,780,0,0,135,1230,25,75,0,0,100,100,100,100,100,100,100,0,0,66.67,50,100,100,0,0,100,100,100,0,75,0,100,0,NA,NA,NA,NA,NA,NA,100,0,0,20,Kunar,100,Badakhshan,0,Badghis,0,20,Pakistan,100,Iran,0,Tajikistan,0,Permanent shelter (brick),75,Permanent shelter (mud),25,Tents (emergency shelter),0,0,2,Own shelter WITH documentation,100,Own shelter WITHOUT documentation,0,Rent shelter,0,75,25,0,0,25,75,0,0,0,100,0,100,0,0,50,50,100,0,0,0,100,0,0,0,25,0,Long line/wait to access waterpoint,100,Unpleasant colour/taste/smell of water,0,Waterpoint has low capacity (runs out of water often),0,100,67,33,0,0,0,100,0,0,0,0,0,100,0,Cost of transport,67,Long travel time,67,Cost of medicines,33,100,0,0,0,0,100,0,0,NA,NA,NA,NA,NA,NA,100,0,0,NA,NA,NA,NA,NA,NA,Unskilled daily labour (without contract),50,Small business / sale of goods or services,25,Farming (cash crop),25,Purchase in markets inside the settlement,100,Purchase in markets outside the settlement,25,NGO food distributions,0,0,0,100,0,100,0,0,100,0,0,"Media (TV, radio)",100,Government,75,Text message alerts,75,Wash hands frequently,100,Practice physical distancing,75,Self-isolate if experiencing symtoms,75,0,100,0,NA,NA,NA,NA,NA,NA,0,75,25,0,50,50,50,0,100,0,0,0,0,100,0,NA,NA,NA,NA,Social withdrawal,100,Angry / aggressive behaviour,25,Dangerous/risky behaviours,25,Increased gender-based violence,75,Increased poverty/no income,75,Increased health issues,0,100,Tools and materials (in cash/ in kind) to rapidly extend shelters to accommodate the sick,100,Provision of tents to accommodate sick persons inside the site,0,Relocation of unsick family members to other relatives,0,50,50,0,Food,100,Hand sanitizer and other hygiene materials,50,Cooking / kitchen materials,50,50,50,0,0,100,0,0,0
